MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,FEN_IndoorArea,FE_SalePrice_Per_IndoorArea,FEC_ExterQual_dual,FEC_LotShape_dual,FEC_ExterCond_dual,FEC_BsmtQual_dual,FEC_BsmtCond_dual,FEC_BsmtExposure_dual,FEC_BsmtFinType1_dual,FEC_BsmtFinType2_dual,FEC_HeatingQC_dual,FEC_Functional_dual,FEC_KitchenQual_dual,FEC_GarageQual_dual,FEC_GarageFinish_dual,FEC_GarageCond_dual,FEC_PavedDrive_dual,FEC_PoolQC_dual,FEC_Fence_dual,FEC_FireplaceQu_dual,FEC_Alley_dual,FEC_OverallQual_dual,FEC_OverallCond_dual,FEC_BsmtFullBath_dual,FEC_BsmtHalfBath_dual,FEC_FullBath_dual,FEC_HalfBath_dual,FEC_BedroomAbvGr_dual,FEC_KitchenAbvGr_dual,FEC_TotRmsAbvGrd_dual,FEC_Fireplaces_dual,FEC_GarageCars_dual,FEC_YearBuilt_dual,FEC_YearRemodAdd_dual,FEC_MoSold_dual,FEC_YrSold_dual,FEC_GarageYrBlt_dual,FEC_LotArea_dual,FEC_MasVnrArea_dual,FEC_BsmtFinSF1_dual,FEC_BsmtFinSF2_dual,FEC_BsmtUnfSF_dual,FEC_TotalBsmtSF_dual,FEC_1stFlrSF_dual,FEC_2ndFlrSF_dual,FEC_LowQualFinSF_dual,FEC_GrLivArea_dual,FEC_GarageArea_dual,FEC_WoodDeckSF_dual,FEC_OpenPorchSF_dual,FEC_EnclosedPorch_dual,FEC_3SsnPorch_dual,FEC_ScreenPorch_dual,FEC_PoolArea_dual,FEC_MiscVal_dual,FEC_LotFrontage_dual,FEN_YearAfterRemode,FEN_YearAfterbuilt,FEN_TotRmsAbvGrd_Per_GrLivArea,FEN_BsmtTotalbath,FEN_GrLivTotalbath,FEN_Area_comp0,FEN_Area_comp1,FEN_Area_comp2,FEN_Area_comp3,FEN_Area_comp4,FEN_Area_comp5,FEN_Area_comp7
160,RM,21.0,1680,Pave,0,1,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsI,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,2,3,1,1,0,1,0,483,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,2,5,7,1,1,Attchd,1972,1,1,288,3,3,3,0,0,0,0,0,0,0,0,None,0,6,2006,WD,Normal,94500,1470.01,64.28527697090496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,34,34,0.005065850997111452,0,2,-3.0253647114887174,0.301168896115104,-0.009096962076231209,-0.05481493407200862,-0.06743017709600668,0.02486895008220992,0.14664509795095068
70,RL,75.0,12000,Pave,0,1,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,2,3,1,3,275,1,0,429,704,GasA,5,Y,SBrkr,860,704,0,1564,0,0,1,1,3,1,1,7,7,1,4,Attchd,1941,1,1,234,3,3,3,0,0,0,0,0,0,0,0,None,0,7,2009,WD,Normal,174500,2268.01,76.93969603308626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,59,68,0.004475700463107121,0,2,1.1248090318753845,0.2282591108331899,0.1030630425108904,-0.0804319283120176,0.05621245468402001,-0.05764216769436912,-0.026481184336670807
70,RM,65.0,11700,Pave,2,2,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,2,2,1,1,0,1,0,1240,1240,GasW,3,N,SBrkr,1320,1320,0,2640,0,0,1,1,4,1,3,8,7,1,4,Detchd,1950,1,4,864,3,3,1,181,0,386,0,0,0,0,0,None,0,5,2009,WD,Normal,265979,3880.01,68.55111198167015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,6,129,0.0030303018824614078,0,2,-1.1520576603181647,0.3184003968785851,-0.01823924039475196,-0.05644628002649189,-0.0351513967752728,0.035326661823810585,-0.05202763533241597
20,RL,98.0,12704,Pave,0,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,306.0,5,3,PConc,4,3,1,1,0,1,0,2042,2042,GasA,5,Y,SBrkr,2042,0,0,2042,0,0,2,1,3,1,4,8,7,1,4,Attchd,2009,2,3,1390,3,3,3,0,90,0,0,0,0,0,0,None,0,8,2009,New,Partial,253293,4084.01,62.02066106596213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0.003917725799350735,0,3,-1.0547583339643454,-0.008848380996081016,-0.3640415636394333,0.053616089988959295,-0.15000562676047222,0.08961520564380289,0.020025626156252585
20,RL,0.0,14781,Pave,0,3,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,178.0,4,3,PConc,3,3,4,1,0,1,0,1753,1753,GasA,5,Y,SBrkr,1787,0,0,1787,0,0,2,0,3,1,3,7,7,1,3,Attchd,2001,2,3,748,3,3,3,198,150,0,0,0,0,0,0,None,0,8,2006,WD,Normal,275000,3540.01,77.68339637458651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,5,0.003917177438624825,0,2,0.009483093360995032,0.004440243808284217,-0.3705322002535384,0.019679962828961898,-0.0458022270371539,0.013170510334946449,0.02255822743622717
60,RL,75.0,11404,Pave,0,2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,202.0,4,3,PConc,3,3,3,5,252,1,0,901,1153,GasA,5,Y,SBrkr,1153,878,0,2031,0,0,2,1,3,1,3,8,7,1,3,Attchd,1998,3,2,541,3,3,3,192,84,0,0,0,0,0,0,None,0,7,2008,WD,Normal,222500,3184.01,69.88043379260743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,9,10,0.003938944392444908,0,3,-0.5853174621703239,0.19836038632810762,-0.003751771021459205,-0.08197282602412213,-0.015656449909692293,-0.0011038375421497076,0.022489598354767288
20,RL,90.0,14115,Pave,0,2,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,1956,2004,Gable,CompShg,Stone,Stone,None,0.0,3,3,PConc,2,3,1,5,296,6,547,230,1073,GasA,5,Y,SBrkr,1811,0,0,1811,0,0,1,0,2,1,4,6,7,1,4,Attchd,1956,3,2,470,3,3,3,0,0,280,0,0,0,0,0,None,0,7,2006,WD,Abnorml,230000,2884.01,79.75007021473573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,2,50,0.0033130848630122237,0,1,0.7349594570957182,-0.06869266586310149,0.02661440649554383,0.2128421465212407,0.17899064711736526,0.10474164387830845,0.00760822079349068
20,RL,75.0,8250,Pave,0,1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,7,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,3,3,CBlock,3,3,1,3,787,1,0,305,1092,GasA,5,Y,SBrkr,1092,0,0,1092,1,0,1,0,3,1,2,6,7,0,0,Attchd,1964,2,2,504,3,4,3,0,0,0,0,0,0,0,3,None,0,7,2008,WD,Normal,145000,2184.01,66.39163740092765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,44,44,0.005494500462911664,1,1,-0.38430791852657925,-0.27455890804487454,0.05497382434017157,-0.013912703587981393,-0.0681026159726971,-0.006585683623864767,0.06357664278055497
70,RM,90.0,9900,Pave,0,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,4,1880,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,2,1,0,1,0,1008,1008,GasW,3,Y,SBrkr,1178,1032,0,2210,0,0,2,0,5,1,1,8,7,0,0,Detchd,1930,1,1,205,2,3,1,0,48,0,0,0,0,0,0,None,0,5,2007,WD,Normal,117500,3218.01,36.513248871196794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,57,127,0.0036199078642950838,0,2,-1.0912665897199108,0.31033112309579286,-0.027141725848651384,-0.05568448959448003,0.08248053641067751,-0.06513030343647329,-0.0191141041204789
45,RM,57.0,7449,Pave,1,1,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,2,3,1,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,4,Attchd,1930,1,1,280,3,3,1,0,0,205,0,0,0,0,4,None,0,6,2007,WD,Normal,139400,1745.01,79.8849290261947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,57,77,0.005415157567547322,0,1,0.1064909306667937,0.054629453160966096,-0.22412505197903662,0.21365100998985825,0.039005006015517735,-0.055234213389604235,-0.014892740278066639
